cur_topic,cur_subtopic
2.6 Transport and Transfer (Physiological Processes),"Diffusion, osmosis and active transport"
2.6 Transport and Transfer (Physiological Processes),Investigate factors affecting rates of omosis across semi-permeable memebranes
2.6 Transport and Transfer (Physiological Processes),Macrostructure and function of urinary system and filtration of blood in the nephron
2.6 Transport and Transfer (Physiological Processes),Macrostructure of human digestive system and digestion
2.6 Transport and Transfer (Physiological Processes),"Absorption, transport and storage of products of digestion"
2.6 Transport and Transfer (Physiological Processes),Biological implications of dietary choices
2.6 Transport and Transfer (Physiological Processes),Anatomy and physiology of breathing system and gas exchange in lungs
2.6 Transport and Transfer (Physiological Processes),Role of CO2 conc in controlloing plant stomata and human breathing system
2.6 Transport and Transfer (Physiological Processes),Structure and function of heart
2.6 Transport and Transfer (Physiological Processes),Interaction between human systems in transporting materials around the body
2.6 Transport and Transfer (Physiological Processes),"Heartbeat: Pacemaker, pulse, blood pressure"
2.6 Transport and Transfer (Physiological Processes),Composition and function of the blood
2.6 Transport and Transfer (Physiological Processes),"Arteries, veins and capillaries"
2.6 Transport and Transfer (Physiological Processes),"Structure and function of root, stem and leaf"
2.6 Transport and Transfer (Physiological Processes),"Transport of water, minerals, CO2 and products of photosynthesis in plants"
2.6 Transport and Transfer (Physiological Processes),Investigate factors affecting rate of transpiration in plants
"3.1 Ecology, Ecosystems, Biodiversity","Biosphere, ecosystems, habitats and biodiversity"
"3.1 Ecology, Ecosystems, Biodiversity",Impact of biodiversity loss on local ecosystems and conservation
"3.1 Ecology, Ecosystems, Biodiversity",Effects of human activity on species diversity
"3.1 Ecology, Ecosystems, Biodiversity",Simpson's Diversity Index Equation
"3.1 Ecology, Ecosystems, Biodiversity",Limiting factors and carrying capacity of species
"3.1 Ecology, Ecosystems, Biodiversity",Population curves and limiting factors
"3.1 Ecology, Ecosystems, Biodiversity",Nutrients and energy in trophic levels
"3.1 Ecology, Ecosystems, Biodiversity",Pyramid of numbers and study of ecosystems
"3.1 Ecology, Ecosystems, Biodiversity",Pyramid of numbers v pyramid of biomass
"3.1 Ecology, Ecosystems, Biodiversity",Niche and adaptations of organisms in ecosystems
"3.1 Ecology, Ecosystems, Biodiversity",Chosen ecosystem: model a habitat investigate abiotic factors and explain feeding/symbiotic relationships
3.2 Microorganisms and Nutrient Cycling,"Bacteria and Fungi: structure, nutrition and cellular nature"
3.2 Microorganisms and Nutrient Cycling,Investigate the factors affecting the growth of microorganisms
3.2 Microorganisms and Nutrient Cycling,Importance of microorganisms in industries
3.2 Microorganisms and Nutrient Cycling,"Microbiome and role in human health, nutrient cycling in soils"
3.2 Microorganisms and Nutrient Cycling,Carbon cycle
3.2 Microorganisms and Nutrient Cycling,Nitrogent cycle
3.2 Microorganisms and Nutrient Cycling,Ethical and sustainability issues associated with the cycling of nutrients
3.2 Microorganisms and Nutrient Cycling,"Climate change and gases, strategies to reduce emissions"
3.3 Information of Life: Genetic Engineering,Genetic engineering and applications
3.3 Information of Life: Genetic Engineering,DNA profiling and uses
3.3 Information of Life: Genetic Engineering,Generating a DNA profile
3.3 Information of Life: Genetic Engineering,DNA sequencing
3.3 Information of Life: Genetic Engineering,Using a genome database to search for alleles of known genetic diseases
3.3 Information of Life: Genetic Engineering,Investigate patterns using a DNA profile
3.3 Information of Life: Genetic Engineering,Ethical issues arising from advancements in genetic technologies
